epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,197.66,0.34875,0.52661,0.48794,0.28025,0.84544,0.99779,1,0.995,0.96541,0.99779,1,0.995,0.98804,0.31504,0.08483,0.26908,0.23944,0.76897,0.0007558,0.0007558,0.0007558
76,200.208,0.32487,0.45095,0.47475,0.2684,0.83278,0.99868,1,0.995,0.96334,0.99868,1,0.995,0.98855,0.34006,0.09924,0.2705,0.22861,0.7748,0.0007525,0.0007525,0.0007525
77,202.736,0.34153,0.47119,0.43228,0.27265,0.84041,0.99861,1,0.995,0.95266,0.99861,1,0.995,0.98591,0.31378,0.09438,0.26007,0.22194,0.77304,0.0007492,0.0007492,0.0007492
78,205.244,0.34694,0.51886,0.4533,0.27822,0.85168,0.99886,1,0.995,0.95695,0.99886,1,0.995,0.98945,0.29236,0.11207,0.2536,0.21848,0.77284,0.0007459,0.0007459,0.0007459
79,207.534,0.33381,0.54826,0.45384,0.2783,0.8446,0.99894,1,0.995,0.95835,0.99894,1,0.995,0.98974,0.30654,0.09174,0.24974,0.23219,0.7809,0.0007426,0.0007426,0.0007426
80,210.055,0.34114,0.4748,0.43987,0.26565,0.82973,0.99894,1,0.995,0.95691,0.99894,1,0.995,0.98944,0.28426,0.10984,0.25024,0.21979,0.77922,0.0007393,0.0007393,0.0007393
81,212.626,0.34132,0.48702,0.4587,0.27019,0.83923,0.99899,1,0.995,0.97758,0.99899,1,0.995,0.98932,0.27181,0.08692,0.25454,0.21481,0.77919,0.000736,0.000736,0.000736
82,215.229,0.32546,0.51555,0.45077,0.27137,0.82843,0.999,1,0.995,0.9667,0.999,1,0.995,0.98892,0.29463,0.08685,0.25182,0.23212,0.78417,0.0007327,0.0007327,0.0007327
83,217.759,0.40968,0.73821,0.45327,0.64027,0.90994,0.99902,1,0.995,0.95515,0.99902,1,0.995,0.98641,0.3181,0.1065,0.24487,0.23749,0.79084,0.0007294,0.0007294,0.0007294
84,220.213,0.36275,0.53181,0.44512,0.28309,0.85002,0.99902,1,0.995,0.95697,0.99902,1,0.995,0.98937,0.33936,0.1007,0.24556,0.25441,0.78968,0.0007261,0.0007261,0.0007261
85,222.614,0.35893,0.59409,0.43264,0.27618,0.84545,0.99903,1,0.995,0.96095,0.99903,1,0.995,0.99013,0.34488,0.09943,0.24755,0.22138,0.79034,0.0007228,0.0007228,0.0007228
86,224.958,0.33571,0.52592,0.44357,0.281,0.83969,0.99902,1,0.995,0.9586,0.99902,1,0.995,0.99122,0.32688,0.12622,0.24603,0.24846,0.79332,0.0007195,0.0007195,0.0007195
87,227.377,0.33965,0.43346,0.41212,0.28384,0.83327,0.99899,1,0.995,0.96012,0.99899,1,0.995,0.9893,0.31868,0.09719,0.23951,0.25546,0.79639,0.0007162,0.0007162,0.0007162
88,229.709,0.32905,0.42524,0.43899,0.27785,0.84234,0.99897,1,0.995,0.96727,0.99897,1,0.995,0.99166,0.32625,0.08777,0.23664,0.254,0.79801,0.0007129,0.0007129,0.0007129
89,232.163,0.33261,0.39896,0.42381,0.27263,0.83406,0.999,1,0.995,0.95833,0.999,1,0.995,0.98933,0.29556,0.08208,0.22972,0.22725,0.79806,0.0007096,0.0007096,0.0007096
90,234.38,0.33546,0.45538,0.43869,0.27982,0.82984,0.99899,1,0.995,0.97031,0.99899,1,0.995,0.99012,0.28498,0.08512,0.23098,0.2378,0.7901,0.0007063,0.0007063,0.0007063
91,236.425,0.32413,0.43711,0.43336,0.27311,0.8363,0.99899,1,0.995,0.96511,0.99899,1,0.995,0.9903,0.27955,0.08624,0.23378,0.22609,0.78163,0.000703,0.000703,0.000703
92,238.513,0.32155,0.49317,0.44138,0.26986,0.83428,0.99903,1,0.995,0.96457,0.99903,1,0.995,0.98942,0.29113,0.10702,0.23366,0.23144,0.78344,0.0006997,0.0006997,0.0006997
93,240.753,0.36976,0.62751,0.42357,0.29268,0.84725,0.99903,1,0.995,0.96019,0.99903,1,0.995,0.9888,0.31451,0.12956,0.23446,0.23875,0.78645,0.0006964,0.0006964,0.0006964
94,242.879,0.34258,0.42809,0.42851,0.27543,0.83414,0.99881,1,0.995,0.95413,0.99881,1,0.995,0.98693,0.32752,0.1302,0.23718,0.22991,0.78317,0.0006931,0.0006931,0.0006931
95,244.985,0.31108,0.43026,0.38439,0.78407,0.80276,0.99872,1,0.995,0.97197,0.99872,1,0.995,0.98332,0.28041,0.11498,0.23002,0.2103,0.77344,0.0006898,0.0006898,0.0006898
96,247.257,0.3408,0.42644,0.4405,0.27381,0.84985,0.99889,1,0.995,0.97707,0.99889,1,0.995,0.98297,0.27785,0.12711,0.22241,0.22598,0.7721,0.0006865,0.0006865,0.0006865
97,249.485,0.3146,0.38527,0.45103,0.27555,0.83174,0.99856,1,0.995,0.96302,0.99856,1,0.995,0.98463,0.27967,0.09276,0.21992,0.22462,0.77061,0.0006832,0.0006832,0.0006832
98,251.742,0.33419,0.47557,0.40652,0.26573,0.83736,0.99866,1,0.995,0.9569,0.99866,1,0.995,0.99018,0.28356,0.09096,0.21968,0.23923,0.77738,0.0006799,0.0006799,0.0006799
99,254.227,0.32409,0.50153,0.42303,0.26129,0.83841,0.99886,1,0.995,0.96519,0.99886,1,0.995,0.99081,0.29267,0.08769,0.22453,0.23147,0.78024,0.0006766,0.0006766,0.0006766
100,256.825,0.32849,0.42925,0.3979,0.26151,0.83143,0.99899,1,0.995,0.9624,0.99899,1,0.995,0.99033,0.29586,0.09779,0.22564,0.23235,0.77364,0.0006733,0.0006733,0.0006733
101,259.385,0.31809,0.45258,0.40913,0.26596,0.82727,0.99901,1,0.995,0.98255,0.99901,1,0.995,0.99012,0.25179,0.08204,0.22114,0.20276,0.76723,0.00067,0.00067,0.00067
102,261.821,0.33992,0.43018,0.39372,0.27192,0.85073,0.99902,1,0.995,0.97582,0.99902,1,0.995,0.98498,0.25646,0.08537,0.2219,0.20404,0.76856,0.0006667,0.0006667,0.0006667
103,264.026,0.32109,0.49616,0.38932,0.26689,0.8296,0.99904,1,0.995,0.97006,0.99904,1,0.995,0.98906,0.28458,0.07683,0.22567,0.21066,0.7676,0.0006634,0.0006634,0.0006634
104,266.175,0.33456,0.46161,0.40014,0.26859,0.83229,0.99901,1,0.995,0.96199,0.99901,1,0.995,0.98978,0.27277,0.08095,0.22771,0.20847,0.76761,0.0006601,0.0006601,0.0006601
105,268.357,0.32781,0.4803,0.39676,0.26825,0.83997,0.999,1,0.995,0.96576,0.999,1,0.995,0.98816,0.2652,0.08326,0.2238,0.21709,0.77016,0.0006568,0.0006568,0.0006568
106,270.584,0.34265,0.56479,0.38458,0.28099,0.84618,0.99902,1,0.995,0.96857,0.99902,1,0.995,0.98784,0.27619,0.08665,0.22399,0.21582,0.77195,0.0006535,0.0006535,0.0006535
107,272.917,0.342,0.48247,0.401,0.26942,0.86298,0.99905,1,0.995,0.96047,0.99905,1,0.995,0.98828,0.27126,0.08951,0.22567,0.20866,0.76935,0.0006502,0.0006502,0.0006502
108,275.418,0.32247,0.55299,0.38379,0.27039,0.85147,0.99906,1,0.995,0.96993,0.99906,1,0.995,0.98933,0.26758,0.08161,0.22888,0.20929,0.77162,0.0006469,0.0006469,0.0006469
109,277.974,0.32291,0.44208,0.39171,0.26284,0.84535,0.99904,1,0.995,0.97027,0.99904,1,0.995,0.99026,0.27678,0.087,0.22617,0.20208,0.7708,0.0006436,0.0006436,0.0006436
110,280.475,0.32675,0.5169,0.36132,0.25522,0.84177,0.99903,1,0.995,0.97249,0.99903,1,0.995,0.98983,0.30585,0.10099,0.21971,0.20249,0.77204,0.0006403,0.0006403,0.0006403
111,282.964,0.31662,0.3999,0.36986,0.25257,0.82713,0.99902,1,0.995,0.96486,0.99902,1,0.995,0.98874,0.26873,0.0909,0.21428,0.2041,0.77098,0.000637,0.000637,0.000637
112,285.297,0.3296,0.39233,0.39667,0.26482,0.85026,0.999,1,0.995,0.97465,0.999,1,0.995,0.99028,0.2655,0.0826,0.21732,0.21738,0.76816,0.0006337,0.0006337,0.0006337
113,287.424,0.34021,0.39863,0.37406,0.27,0.84092,0.99902,1,0.995,0.96104,0.99902,1,0.995,0.99015,0.28821,0.07865,0.21402,0.21521,0.7702,0.0006304,0.0006304,0.0006304
114,289.441,0.33162,0.45114,0.34386,0.26477,0.83859,0.99902,1,0.995,0.97356,0.99902,1,0.995,0.98854,0.27322,0.08525,0.20648,0.2075,0.77047,0.0006271,0.0006271,0.0006271
115,291.496,0.30735,0.34795,0.37767,0.24582,0.84477,0.99904,1,0.995,0.98302,0.99904,1,0.995,0.98833,0.26377,0.08735,0.20121,0.20525,0.7683,0.0006238,0.0006238,0.0006238
116,293.593,0.33867,0.42227,0.35296,0.27695,0.85304,0.99903,1,0.995,0.95849,0.99903,1,0.995,0.98562,0.28872,0.07979,0.19573,0.21221,0.77109,0.0006205,0.0006205,0.0006205
117,295.728,0.3208,0.36249,0.36339,0.25099,0.83497,0.99904,1,0.995,0.97681,0.99904,1,0.995,0.98866,0.27734,0.08168,0.19238,0.21008,0.77144,0.0006172,0.0006172,0.0006172
118,297.878,0.3192,0.40361,0.34323,0.24316,0.8135,0.99904,1,0.995,0.9653,0.99904,1,0.995,0.98809,0.31406,0.08817,0.19213,0.21728,0.77982,0.0006139,0.0006139,0.0006139
119,300.208,0.32258,0.36097,0.33159,0.25506,0.84096,0.99904,1,0.995,0.97514,0.99904,1,0.995,0.98825,0.27203,0.07725,0.18648,0.20776,0.77408,0.0006106,0.0006106,0.0006106
120,302.544,0.3161,0.3403,0.35065,0.25264,0.84284,0.99904,1,0.995,0.96585,0.99904,1,0.995,0.98934,0.30264,0.07619,0.18675,0.21772,0.77999,0.0006073,0.0006073,0.0006073
121,304.785,0.32858,0.47249,0.36527,0.26173,0.83608,0.99904,1,0.995,0.97445,0.99904,1,0.995,0.98938,0.28302,0.08918,0.19048,0.20754,0.77157,0.000604,0.000604,0.000604
122,307.125,0.31238,0.40758,0.36028,0.2551,0.83287,0.99902,1,0.995,0.97219,0.99902,1,0.995,0.98824,0.28387,0.07555,0.18828,0.20748,0.77151,0.0006007,0.0006007,0.0006007
123,309.54,0.30219,0.56421,0.33882,0.24357,0.82837,0.99903,1,0.995,0.97496,0.99903,1,0.995,0.98723,0.28341,0.09481,0.18484,0.20172,0.77324,0.0005974,0.0005974,0.0005974
124,312.026,0.29725,0.45848,0.35895,0.24632,0.82632,0.99904,1,0.995,0.98403,0.99904,1,0.995,0.98543,0.27168,0.07055,0.18207,0.19217,0.7702,0.0005941,0.0005941,0.0005941
125,314.386,0.29208,0.40855,0.32552,0.23623,0.82493,0.99901,1,0.995,0.97859,0.99901,1,0.995,0.98505,0.2573,0.077,0.18,0.1837,0.7646,0.0005908,0.0005908,0.0005908
126,316.747,0.29446,0.41135,0.30684,0.23533,0.83187,0.99899,1,0.995,0.97005,0.99899,1,0.995,0.9852,0.27466,0.08289,0.1756,0.19472,0.7665,0.0005875,0.0005875,0.0005875
