epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,470.943,1.08904,0.8652,1.23051,0.79756,0.64797,0.73219,0.4464,1.28117,0.84527,1.3607,0.0007855,0.0007855,0.0007855
67,477.187,1.10641,0.84063,1.22715,0.81464,0.62453,0.72108,0.44247,1.29258,0.79599,1.37394,0.0007822,0.0007822,0.0007822
68,483.66,1.10093,0.85444,1.228,0.75783,0.64605,0.71914,0.4418,1.2993,0.84723,1.3724,0.0007789,0.0007789,0.0007789
69,490.044,1.09255,0.84594,1.22643,0.79582,0.63594,0.72116,0.44012,1.29164,0.81488,1.38989,0.0007756,0.0007756,0.0007756
70,496.415,1.1116,0.87411,1.24396,0.79954,0.61579,0.70764,0.43511,1.3098,0.83817,1.41618,0.0007723,0.0007723,0.0007723
71,502.848,1.08645,0.84981,1.22601,0.8249,0.63848,0.73968,0.4503,1.27437,0.82608,1.36077,0.000769,0.000769,0.000769
72,510.072,1.09833,0.84525,1.23688,0.85591,0.57059,0.68101,0.43192,1.27492,0.83352,1.37442,0.0007657,0.0007657,0.0007657
73,517.162,1.09873,0.85276,1.24814,0.83167,0.65658,0.73532,0.44086,1.2972,0.81396,1.38537,0.0007624,0.0007624,0.0007624
74,524.487,1.09675,0.8298,1.22767,0.7992,0.65395,0.75161,0.45123,1.30746,0.81011,1.38485,0.0007591,0.0007591,0.0007591
75,531.837,1.07932,0.84708,1.21398,0.72602,0.63459,0.70581,0.43567,1.30068,0.8292,1.38111,0.0007558,0.0007558,0.0007558
76,538.604,1.07654,0.8132,1.21975,0.75564,0.64288,0.71844,0.42978,1.33133,0.85633,1.39206,0.0007525,0.0007525,0.0007525
77,545.776,1.09246,0.83819,1.21649,0.82906,0.61579,0.72336,0.44355,1.31021,0.83292,1.38153,0.0007492,0.0007492,0.0007492
78,552.592,1.07769,0.82803,1.22633,0.7905,0.65263,0.74344,0.44344,1.32405,0.82048,1.38924,0.0007459,0.0007459,0.0007459
79,559.249,1.07628,0.82529,1.21221,0.83308,0.63947,0.75162,0.45368,1.29776,0.80187,1.37451,0.0007426,0.0007426,0.0007426
80,566.463,1.08053,0.81662,1.22102,0.80854,0.66316,0.75336,0.46927,1.24487,0.76789,1.33967,0.0007393,0.0007393,0.0007393
81,573.795,1.07609,0.82253,1.20825,0.78858,0.65275,0.75042,0.45028,1.29395,0.78785,1.38145,0.000736,0.000736,0.000736
82,580.991,1.08243,0.82417,1.21642,0.79094,0.675,0.76131,0.47231,1.24623,0.75297,1.32613,0.0007327,0.0007327,0.0007327
83,588.21,1.05919,0.80709,1.21426,0.84168,0.62105,0.74754,0.4651,1.26874,0.76176,1.35282,0.0007294,0.0007294,0.0007294
84,594.588,1.0682,0.81289,1.21301,0.78912,0.65132,0.72995,0.44697,1.26921,0.81505,1.34399,0.0007261,0.0007261,0.0007261
85,601.037,1.06149,0.81066,1.20893,0.86147,0.64079,0.74627,0.45925,1.2865,0.77404,1.37407,0.0007228,0.0007228,0.0007228
86,608.253,1.06877,0.80647,1.204,0.77415,0.67201,0.73774,0.46424,1.23757,0.77904,1.33864,0.0007195,0.0007195,0.0007195
87,615.636,1.04224,0.79125,1.20222,0.80515,0.625,0.72536,0.45596,1.26823,0.79801,1.3565,0.0007162,0.0007162,0.0007162
88,622.788,1.03776,0.79013,1.18503,0.80389,0.64722,0.73509,0.45996,1.2803,0.77815,1.36765,0.0007129,0.0007129,0.0007129
89,629.545,1.04704,0.77868,1.19269,0.81906,0.63684,0.73435,0.44811,1.2772,0.78336,1.39269,0.0007096,0.0007096,0.0007096
90,636.822,1.04112,0.78607,1.19694,0.81058,0.65,0.74367,0.46394,1.25394,0.79003,1.36758,0.0007063,0.0007063,0.0007063
91,644.008,1.04967,0.7855,1.20588,0.78537,0.67632,0.75954,0.47146,1.25053,0.75369,1.34414,0.000703,0.000703,0.000703
92,650.301,1.03776,0.77306,1.18211,0.81305,0.65806,0.76205,0.46929,1.24651,0.76558,1.35443,0.0006997,0.0006997,0.0006997
93,656.665,1.05088,0.79433,1.20382,0.79201,0.66447,0.73857,0.45657,1.25316,0.79121,1.34893,0.0006964,0.0006964,0.0006964
94,663.662,1.02859,0.76608,1.19344,0.83729,0.64605,0.75914,0.46714,1.26882,0.77762,1.34554,0.0006931,0.0006931,0.0006931
95,670.798,1.02681,0.75864,1.19474,0.80206,0.69737,0.77632,0.48977,1.22412,0.7396,1.31691,0.0006898,0.0006898,0.0006898
96,676.847,1.02369,0.76864,1.18242,0.80787,0.64079,0.73857,0.46036,1.2407,0.78247,1.34906,0.0006865,0.0006865,0.0006865
97,683.107,1.04475,0.77843,1.20889,0.7888,0.66341,0.75737,0.47902,1.22011,0.74264,1.3475,0.0006832,0.0006832,0.0006832
98,689.342,1.05787,0.79083,1.21167,0.81411,0.66579,0.74789,0.46596,1.25361,0.74546,1.37285,0.0006799,0.0006799,0.0006799
99,695.808,1.03141,0.77156,1.20282,0.81303,0.66579,0.7682,0.47296,1.24194,0.77179,1.33686,0.0006766,0.0006766,0.0006766
100,702.28,1.02444,0.76261,1.18465,0.845,0.63421,0.75586,0.48088,1.22658,0.74414,1.31795,0.0006733,0.0006733,0.0006733
101,709.633,1.01207,0.74777,1.17408,0.78447,0.66091,0.74378,0.4583,1.27518,0.76974,1.38556,0.00067,0.00067,0.00067
102,716.784,1.03059,0.77748,1.19818,0.75207,0.63063,0.73378,0.4538,1.29817,0.79963,1.41285,0.0006667,0.0006667,0.0006667
103,724.061,1.0326,0.7602,1.18672,0.79767,0.70547,0.77929,0.481,1.22123,0.72593,1.35303,0.0006634,0.0006634,0.0006634
104,731.182,0.99942,0.7368,1.16891,0.80059,0.69202,0.76657,0.48035,1.24761,0.72537,1.36709,0.0006601,0.0006601,0.0006601
105,738.413,1.02382,0.74832,1.17578,0.79127,0.70789,0.78102,0.48835,1.252,0.72864,1.35769,0.0006568,0.0006568,0.0006568
106,745.215,1.0205,0.7554,1.17095,0.76026,0.68026,0.74929,0.47473,1.24355,0.76963,1.34564,0.0006535,0.0006535,0.0006535
107,751.761,1.01394,0.74266,1.17456,0.8184,0.69973,0.78368,0.48522,1.22651,0.70909,1.32017,0.0006502,0.0006502,0.0006502
108,758.783,1.01708,0.76522,1.1823,0.79196,0.675,0.75979,0.47708,1.2163,0.70452,1.34672,0.0006469,0.0006469,0.0006469
109,766.09,1.01762,0.73792,1.1738,0.8,0.66317,0.75094,0.46412,1.24119,0.76739,1.33788,0.0006436,0.0006436,0.0006436
110,772.927,0.99808,0.7423,1.16899,0.81875,0.64605,0.74997,0.47354,1.23709,0.70393,1.34038,0.0006403,0.0006403,0.0006403
111,779.363,0.99949,0.74321,1.17167,0.77357,0.68684,0.75318,0.46745,1.24649,0.7319,1.35002,0.000637,0.000637,0.000637
112,786.421,1.00695,0.74194,1.16974,0.77068,0.68289,0.75676,0.46991,1.26496,0.71502,1.37587,0.0006337,0.0006337,0.0006337
113,793.411,0.99309,0.73231,1.16389,0.76056,0.68947,0.76084,0.48065,1.22021,0.71743,1.35559,0.0006304,0.0006304,0.0006304
114,800.377,0.99732,0.73268,1.17342,0.85742,0.65263,0.77003,0.47449,1.25083,0.72785,1.36354,0.0006271,0.0006271,0.0006271
115,807.406,0.99312,0.74456,1.16937,0.82367,0.67368,0.76952,0.48776,1.22258,0.70909,1.32394,0.0006238,0.0006238,0.0006238
116,814.77,0.98868,0.73577,1.1545,0.84531,0.70132,0.78789,0.47935,1.26125,0.68609,1.34987,0.0006205,0.0006205,0.0006205
117,822.074,0.98169,0.72088,1.15711,0.77525,0.70804,0.77471,0.48485,1.21557,0.67813,1.33996,0.0006172,0.0006172,0.0006172
118,829.13,1.01101,0.70468,1.16031,0.85458,0.67272,0.77137,0.48741,1.20799,0.68305,1.31852,0.0006139,0.0006139,0.0006139
119,835.558,0.99628,0.72316,1.16099,0.81813,0.66842,0.74946,0.47304,1.21462,0.69653,1.33277,0.0006106,0.0006106,0.0006106
120,842.004,0.97886,0.71397,1.14941,0.83224,0.67885,0.77429,0.49105,1.19488,0.70019,1.31376,0.0006073,0.0006073,0.0006073
121,848.483,1.0042,0.71048,1.16232,0.82452,0.68007,0.76305,0.47792,1.24147,0.66861,1.35183,0.000604,0.000604,0.000604
122,854.772,0.9642,0.70358,1.15608,0.82232,0.68202,0.77768,0.47798,1.24448,0.69091,1.34973,0.0006007,0.0006007,0.0006007
123,861.486,0.97431,0.71867,1.15725,0.80881,0.69605,0.7862,0.48577,1.2007,0.68531,1.32355,0.0005974,0.0005974,0.0005974
124,868.627,0.93896,0.69823,1.12778,0.78886,0.72267,0.7876,0.49192,1.21736,0.68792,1.35064,0.0005941,0.0005941,0.0005941
125,875.646,0.9621,0.69889,1.1483,0.83535,0.67422,0.78274,0.4912,1.21218,0.66539,1.33914,0.0005908,0.0005908,0.0005908
126,882.62,0.95273,0.6944,1.13319,0.83947,0.68806,0.78812,0.49448,1.21074,0.68267,1.34387,0.0005875,0.0005875,0.0005875
127,889.713,0.95881,0.69264,1.14003,0.83203,0.67368,0.77651,0.486,1.22212,0.69866,1.35444,0.0005842,0.0005842,0.0005842
128,896.669,0.95989,0.6913,1.14229,0.82391,0.68337,0.77513,0.49507,1.22424,0.68172,1.34722,0.0005809,0.0005809,0.0005809
129,904.058,0.98599,0.70529,1.15222,0.83318,0.68816,0.79279,0.4956,1.20299,0.67785,1.33488,0.0005776,0.0005776,0.0005776
130,911.324,0.97626,0.70003,1.14293,0.79764,0.68462,0.76937,0.48291,1.22138,0.69443,1.34803,0.0005743,0.0005743,0.0005743
131,917.789,0.9451,0.68606,1.13798,0.82841,0.70512,0.78829,0.4953,1.21247,0.66572,1.34445,0.000571,0.000571,0.000571
132,924.403,0.94294,0.69018,1.13288,0.84876,0.68289,0.78275,0.4956,1.20635,0.65882,1.35697,0.0005677,0.0005677,0.0005677
133,931.721,0.95232,0.69409,1.13638,0.76877,0.68682,0.76524,0.48205,1.20845,0.67526,1.33226,0.0005644,0.0005644,0.0005644
134,938.911,0.9357,0.678,1.12644,0.86411,0.67775,0.77889,0.49242,1.21516,0.66806,1.35028,0.0005611,0.0005611,0.0005611
135,946.172,0.95313,0.69482,1.13783,0.84179,0.66447,0.77733,0.49537,1.1957,0.69361,1.32284,0.0005578,0.0005578,0.0005578
136,953.605,0.94542,0.68826,1.12961,0.84056,0.68289,0.78169,0.4885,1.20864,0.7062,1.36267,0.0005545,0.0005545,0.0005545
137,960.883,0.94393,0.69789,1.13866,0.82099,0.68421,0.77319,0.49147,1.18595,0.6794,1.33403,0.0005512,0.0005512,0.0005512
138,968.078,0.93445,0.68757,1.12536,0.80985,0.70921,0.77943,0.48989,1.20068,0.69083,1.33696,0.0005479,0.0005479,0.0005479
139,975.065,0.93283,0.67342,1.13227,0.84151,0.71711,0.79971,0.50462,1.19633,0.68144,1.3339,0.0005446,0.0005446,0.0005446
140,982.477,0.93978,0.67298,1.13358,0.85579,0.69492,0.7963,0.49931,1.19867,0.67358,1.33258,0.0005413,0.0005413,0.0005413
141,989.481,0.94387,0.67702,1.12951,0.85016,0.6868,0.78759,0.49097,1.21781,0.64572,1.35296,0.000538,0.000538,0.000538
142,995.834,0.94369,0.68924,1.12819,0.83972,0.69342,0.77742,0.49865,1.17609,0.67474,1.32329,0.0005347,0.0005347,0.0005347
143,1002.66,0.93876,0.68398,1.14777,0.84924,0.70415,0.7992,0.50176,1.18664,0.66379,1.34868,0.0005314,0.0005314,0.0005314
144,1009.86,0.90896,0.65375,1.11913,0.84787,0.68933,0.78728,0.49053,1.20964,0.66643,1.33915,0.0005281,0.0005281,0.0005281
145,1017,0.9229,0.66265,1.12674,0.85199,0.69682,0.78491,0.49698,1.19949,0.64869,1.35128,0.0005248,0.0005248,0.0005248
146,1024.27,0.93131,0.65939,1.12626,0.84214,0.68791,0.78289,0.49846,1.18248,0.67182,1.32631,0.0005215,0.0005215,0.0005215
147,1031.52,0.90923,0.66511,1.12091,0.81478,0.71775,0.80132,0.51183,1.15683,0.65489,1.30246,0.0005182,0.0005182,0.0005182
148,1037.88,0.92817,0.65673,1.13066,0.84589,0.70921,0.80431,0.50558,1.20059,0.64321,1.32213,0.0005149,0.0005149,0.0005149
149,1044.37,0.90681,0.65977,1.10618,0.78813,0.69605,0.77518,0.48737,1.22066,0.68359,1.34331,0.0005116,0.0005116,0.0005116
150,1051.2,0.93055,0.6944,1.14069,0.82331,0.68669,0.77108,0.49327,1.19475,0.66854,1.3298,0.0005083,0.0005083,0.0005083
151,1058.14,0.91293,0.66501,1.11023,0.80093,0.72526,0.78911,0.49998,1.17639,0.64111,1.33626,0.000505,0.000505,0.000505
152,1065.4,0.92745,0.65484,1.11435,0.85093,0.71355,0.79434,0.49849,1.1749,0.68776,1.32401,0.0005017,0.0005017,0.0005017
153,1072.53,0.91638,0.64727,1.11678,0.87863,0.71441,0.82009,0.51858,1.15907,0.64059,1.30757,0.0004984,0.0004984,0.0004984
154,1079.58,0.89569,0.64156,1.09598,0.85242,0.72958,0.81012,0.51069,1.18024,0.62386,1.32312,0.0004951,0.0004951,0.0004951
155,1086.12,0.90541,0.65738,1.10898,0.83984,0.68996,0.78698,0.4995,1.18566,0.65304,1.32087,0.0004918,0.0004918,0.0004918
156,1092.6,0.89044,0.64558,1.09574,0.85877,0.68009,0.7908,0.50276,1.18823,0.65865,1.33003,0.0004885,0.0004885,0.0004885
157,1099.24,0.89358,0.638,1.09945,0.8186,0.71579,0.80474,0.50712,1.17594,0.67437,1.31476,0.0004852,0.0004852,0.0004852
158,1105.69,0.89811,0.64399,1.1022,0.8359,0.70658,0.79824,0.50998,1.17068,0.65123,1.32202,0.0004819,0.0004819,0.0004819
159,1112.74,0.88544,0.63348,1.10176,0.79584,0.7181,0.7984,0.50734,1.17189,0.65126,1.32647,0.0004786,0.0004786,0.0004786
160,1120.13,0.90344,0.6443,1.10994,0.82924,0.70921,0.80231,0.50901,1.16829,0.63529,1.31324,0.0004753,0.0004753,0.0004753
161,1126.34,0.89875,0.64564,1.10429,0.79937,0.73158,0.79837,0.50232,1.21152,0.68404,1.3364,0.000472,0.000472,0.000472
162,1132.88,0.89208,0.6452,1.10874,0.82005,0.69342,0.79064,0.49686,1.19924,0.68292,1.34819,0.0004687,0.0004687,0.0004687
163,1139.82,0.91437,0.6598,1.10248,0.89045,0.65658,0.7863,0.50013,1.19869,0.65533,1.34351,0.0004654,0.0004654,0.0004654
164,1147.15,0.87153,0.62631,1.09693,0.85236,0.68158,0.7909,0.50658,1.19103,0.66749,1.32602,0.0004621,0.0004621,0.0004621
165,1153.63,0.86486,0.62252,1.08684,0.82892,0.68854,0.78402,0.49729,1.20131,0.6897,1.35135,0.0004588,0.0004588,0.0004588
166,1159.95,0.87207,0.61829,1.08388,0.8354,0.69342,0.78283,0.50092,1.18787,0.64747,1.34426,0.0004555,0.0004555,0.0004555
167,1166.71,0.88527,0.63226,1.08946,0.81573,0.71061,0.78108,0.49607,1.20614,0.65327,1.35516,0.0004522,0.0004522,0.0004522
168,1174.02,0.8642,0.62088,1.07077,0.8153,0.71442,0.79067,0.50527,1.19242,0.62964,1.32916,0.0004489,0.0004489,0.0004489
169,1181.02,0.8714,0.62284,1.09518,0.8413,0.70789,0.79368,0.49599,1.19787,0.64147,1.3289,0.0004456,0.0004456,0.0004456
170,1187.62,0.86872,0.62195,1.08605,0.83629,0.7,0.79618,0.50099,1.18408,0.66743,1.31507,0.0004423,0.0004423,0.0004423
171,1194.35,0.8634,0.61267,1.08194,0.83297,0.73493,0.80486,0.51029,1.18593,0.63932,1.32337,0.000439,0.000439,0.000439
172,1201.37,0.86292,0.61436,1.08524,0.82993,0.72632,0.79591,0.51266,1.16623,0.64369,1.32753,0.0004357,0.0004357,0.0004357
173,1208.12,0.8701,0.62452,1.0832,0.79035,0.72368,0.78502,0.49822,1.19836,0.64947,1.35727,0.0004324,0.0004324,0.0004324
174,1215.38,0.86216,0.60845,1.08775,0.84183,0.70658,0.79294,0.50306,1.18925,0.63305,1.34527,0.0004291,0.0004291,0.0004291
175,1222.64,0.8771,0.62391,1.08325,0.83441,0.69737,0.79371,0.4991,1.18084,0.62441,1.34153,0.0004258,0.0004258,0.0004258
176,1229.2,0.84113,0.59672,1.07757,0.81659,0.72237,0.79829,0.50985,1.17572,0.62551,1.32327,0.0004225,0.0004225,0.0004225
177,1235.59,0.87362,0.62342,1.07515,0.83074,0.72975,0.80688,0.51143,1.16683,0.64898,1.31321,0.0004192,0.0004192,0.0004192
178,1241.91,0.86801,0.63055,1.0881,0.84859,0.71533,0.80877,0.51638,1.17191,0.63955,1.3238,0.0004159,0.0004159,0.0004159
179,1248.29,0.84652,0.60646,1.07855,0.83135,0.71711,0.80082,0.50996,1.17658,0.65295,1.33984,0.0004126,0.0004126,0.0004126
180,1254.72,0.85796,0.61324,1.07265,0.8295,0.7,0.79042,0.50256,1.17613,0.65099,1.33215,0.0004093,0.0004093,0.0004093
181,1261.07,0.85219,0.60649,1.07503,0.8341,0.70263,0.80117,0.50463,1.17445,0.62737,1.3269,0.000406,0.000406,0.000406
182,1267.59,0.86613,0.61736,1.08348,0.80648,0.7348,0.80688,0.50619,1.18518,0.6386,1.33262,0.0004027,0.0004027,0.0004027
183,1273.88,0.84905,0.60093,1.08672,0.84812,0.7274,0.81601,0.51035,1.16766,0.63017,1.31272,0.0003994,0.0003994,0.0003994
184,1280.82,0.87089,0.59812,1.08266,0.80969,0.71098,0.79044,0.50469,1.17078,0.62729,1.3354,0.0003961,0.0003961,0.0003961
